ticker,earnings_date,surprise_pct,entry_price,exit_price,exit_day,return_pct,hit_stop,hit_target,strategy
AGYS,2025-05-19 16:00:00,88.81,101.01,109.66,10,8.563508563508556,False,False,PEAD
AGYS,2025-01-21 16:00:00,10.95,101.0,92.0,2,-8.91089108910891,True,False,PEAD
AGYS,2024-10-28 16:00:00,14.86,102.51,115.73,6,12.896302799726856,False,True,PEAD
AGYS,2024-07-22 16:00:00,17.65,106.76,104.6,10,-2.0232296740352296,False,False,PEAD
AGYS,2024-05-13 16:00:00,13.27,92.16,104.23,6,13.096788194444454,False,True,PEAD
AGYS,2024-01-22 16:00:00,37.25,86.79,83.44,10,-3.859891692591322,False,False,PEAD
AGYS,2023-10-23 16:00:00,29.87,80.0,90.06,8,12.575000000000003,False,True,PEAD
AGYS,2023-07-24 16:00:00,25.58,69.08,73.41,10,6.268094962362476,False,False,PEAD
AGYS,2023-05-16 16:00:00,18.18,68.49,73.15,10,6.803912979997097,False,False,PEAD
AGYS,2023-01-24 16:00:00,23.81,82.0,81.66,10,-0.4146341463414676,False,False,PEAD
AGYS,2022-10-25 16:00:00,30.91,62.15,64.41,10,3.6363636363636336,False,False,PEAD
AGYS,2022-07-26 16:00:00,18.87,48.73,51.74,10,6.176893084342305,False,False,PEAD
AGYS,2022-05-17 16:00:00,44.0,39.6,42.1,10,6.313131313131313,False,False,PEAD
AGYS,2022-01-25 16:00:00,24.59,36.55,39.91,10,9.192886456908344,False,False,PEAD
AGYS,2021-07-27 16:00:00,27.27,56.73,57.32,10,1.0400141018861333,False,False,PEAD
AGYS,2021-05-18 16:00:00,13.51,47.06,52.89,5,12.38844028899277,False,True,PEAD
AGYS,2021-01-26 16:00:00,8.49,40.26,36.79,2,-8.618976651763536,True,False,PEAD
AGYS,2020-10-27 16:00:00,152.17,26.95,30.62,6,13.61781076066791,False,True,PEAD
AGYS,2020-07-28 16:00:00,350.0,21.53,24.35,10,13.098002786809104,False,True,PEAD
AGYS,2020-05-21 16:00:00,,19.5,22.01,8,12.871794871794881,False,True,PEAD
AGYS,2020-01-28 16:00:00,176.92,33.46,36.2,10,8.188882247459658,False,False,PEAD
PIPR,2025-08-01 07:00:00,32.44,320.98,325.69,10,1.4673811452426877,False,False,PEAD
PIPR,2025-05-02 07:00:00,43.76,246.58,266.96,10,8.265066104306905,False,False,PEAD
PIPR,2025-01-31 08:00:00,20.38,316.78,309.6,10,-2.2665572321484784,False,False,PEAD
PIPR,2024-08-02 07:00:00,11.75,238.48,267.71,8,12.256793022475676,False,True,PEAD
PIPR,2024-04-25 20:00:00,27.4,197.16,212.46,10,7.760194765672557,False,False,PEAD
PIPR,2024-02-01 19:00:00,54.85,190.76,187.48,10,-1.7194380373243872,False,False,PEAD
PIPR,2023-10-27 08:00:00,11.39,138.54,142.54,10,2.8872527789808,False,False,PEAD
PIPR,2023-05-02 08:00:00,46.19,125.87,129.14,10,2.5979184873281813,False,False,PEAD
PIPR,2023-02-03 08:00:00,31.23,153.61,151.74,10,-1.2173686608944758,False,False,PEAD
PIPR,2022-10-28 08:00:00,13.61,127.97,146.19,9,14.2377119637415,False,True,PEAD
PIPR,2022-07-29 08:00:00,8.91,124.2,132.94,10,7.037037037037034,False,False,PEAD
PIPR,2022-04-29 07:00:00,24.9,119.25,125.58,10,5.30817610062893,False,False,PEAD
PIPR,2022-02-10 08:00:00,49.79,148.44,148.0,10,-0.29641606036108714,False,False,PEAD
PIPR,2021-10-29 08:00:00,20.69,171.79,183.6,10,6.874672565341407,False,False,PEAD
PIPR,2021-07-30 08:00:00,55.5,128.08,144.09,8,12.499999999999991,False,True,PEAD
PIPR,2021-04-30 08:00:00,32.23,117.17,123.8,10,5.658444994452501,False,False,PEAD
PIPR,2021-02-04 08:00:00,74.48,100.0,107.99,10,7.989999999999994,False,False,PEAD
PIPR,2020-10-30 08:00:00,66.43,81.51,93.02,6,14.120966752545689,False,True,PEAD
PIPR,2020-07-31 08:00:00,24.52,64.25,72.49,7,12.824902723735402,False,True,PEAD
PIPR,2020-05-01 08:00:00,58.01,51.48,56.01,10,8.799533799533803,False,False,PEAD
PIPR,2020-01-31 08:00:00,52.51,84.78,85.77,10,1.167728237791926,False,False,PEAD
PIPR,2019-10-30 08:00:00,6.03,78.54,75.64,10,-3.692386045327229,False,False,PEAD
BOH,2025-04-21 06:00:00,9.38,66.81,67.81,10,1.49678191887442,False,False,PEAD
BOH,2024-10-28 06:00:00,12.75,72.79,78.85,10,8.325319412007126,False,False,PEAD
BOH,2023-10-23 06:00:00,7.2,48.13,55.78,8,15.894452524413044,False,True,PEAD
BOH,2023-01-23 06:00:00,14.8,74.68,78.92,10,5.677557579003742,False,False,PEAD
BOH,2022-04-25 06:00:00,20.94,77.0,74.56,10,-3.1688311688311663,False,False,PEAD
BOH,2022-01-24 06:00:00,17.63,88.17,88.37,10,0.2268345242145887,False,False,PEAD
BOH,2021-07-26 06:00:00,24.99,83.85,85.39,10,1.8366129994037046,False,False,PEAD
BOH,2021-04-26 06:00:00,30.01,91.99,91.92,10,-0.07609522774213848,False,False,PEAD
BOH,2021-01-25 06:00:00,13.85,80.85,85.84,10,6.171923314780469,False,False,PEAD
BOH,2020-10-26 06:00:00,10.49,59.44,71.58,9,20.423956931359356,False,True,PEAD
BOH,2020-04-20 07:00:00,18.18,59.8,69.61,6,16.404682274247495,False,True,PEAD
ITW,2024-10-30 08:00:00,54.97,261.13,269.87,10,3.34699191973347,False,False,PEAD
ITW,2024-04-30 09:00:00,15.72,242.27,249.09,10,2.8150410698807087,False,False,PEAD
ITW,2022-08-02 08:00:00,7.08,208.54,215.97,10,3.562865637287814,False,False,PEAD
ITW,2021-04-30 08:00:00,11.9,233.56,237.55,10,1.7083404692584385,False,False,PEAD
ITW,2021-02-05 08:00:00,13.82,204.24,201.53,10,-1.3268703486094828,False,False,PEAD
ITW,2020-10-23 08:00:00,24.56,199.91,213.89,10,6.993146916112246,False,False,PEAD
ITW,2020-07-31 08:00:00,43.63,185.98,196.57,10,5.694160662436824,False,False,PEAD
ITW,2020-01-31 08:00:00,19.22,176.46,186.48,10,5.678340700442016,False,False,PEAD
OLN,2025-05-01 16:00:00,132.52,22.2,20.39,3,-8.153153153153148,True,False,PEAD
OLN,2025-01-30 16:00:00,598.33,29.01,27.51,10,-5.170630816959669,False,False,PEAD
OLN,2024-04-25 16:00:00,24.66,53.48,55.31,10,3.4218399401645576,False,False,PEAD
OLN,2024-01-25 16:00:00,48.99,55.25,49.83,6,-9.809954751131226,True,False,PEAD
OLN,2023-10-26 16:00:00,23.75,42.12,43.31,10,2.8252611585945036,False,False,PEAD
OLN,2023-07-27 16:00:00,5.56,57.98,57.84,10,-0.24146257330112708,False,False,PEAD
OLN,2023-04-27 16:00:00,16.4,55.4,52.0,10,-6.137184115523463,False,False,PEAD
OLN,2023-01-26 16:00:00,8.29,62.64,61.79,10,-1.3569604086845488,False,False,PEAD
OLN,2022-10-26 16:00:00,18.24,52.15,58.0,10,11.217641418983703,False,False,PEAD
OLN,2022-07-28 16:00:00,10.51,52.0,58.04,10,11.615384615384613,False,False,PEAD
OLN,2022-04-28 16:00:00,6.86,57.4,64.32,3,12.055749128919851,False,True,PEAD
OLN,2021-10-21 16:00:00,21.09,56.35,62.3,10,10.559006211180117,False,False,PEAD
OLN,2021-07-27 16:00:00,54.09,46.26,48.16,10,4.1072200605274505,False,False,PEAD
