ticker,earnings_date,surprise_pct,initial_drop_pct,entry_price,exit_price,exit_day,return_pct,hit_stop,hit_target,strategy
AGYS,2024-10-28 16:00:00,14.86,-12.750021278406665,102.51,115.73,6,12.896302799726856,False,True,RECOVERY
AGYS,2023-05-16 16:00:00,18.18,-5.204152249134955,68.49,73.15,10,6.803912979997097,False,False,RECOVERY
AGYS,2022-07-26 16:00:00,18.87,-5.4520760574311256,48.73,51.74,10,6.176893084342305,False,False,RECOVERY
BOH,2024-01-22 06:00:00,1.06,-5.264701569145041,64.6,60.44,10,-6.4396284829721315,False,False,RECOVERY
ITW,2022-02-03 08:00:00,1.09,-5.197763512114303,228.9,215.81,10,-5.718654434250766,False,False,RECOVERY
OLN,2021-01-28 16:00:00,29.49,-7.0985259891388734,23.95,27.02,3,12.818371607515658,False,True,RECOVERY
OLN,2020-04-29 19:00:00,-55.08,-11.392405063291132,13.3,11.82,2,-11.127819548872184,True,False,RECOVERY
ABCB,2021-01-28 16:00:00,27.04,-5.279728747880842,39.11,43.87,4,12.170800306826894,False,True,RECOVERY
TLN,2025-02-28 06:00:00,331.14,-9.329515628728233,190.0,165.75,5,-12.763157894736842,True,False,RECOVERY
CR,2024-07-29 16:00:00,4.9,-5.950310559006219,151.42,151.01,10,-0.27077004358737067,False,False,RECOVERY
EEFT,2023-02-07 21:00:00,12.49,-6.602487646958596,109.63,107.25,10,-2.1709386116938756,False,False,RECOVERY
EEFT,2022-07-27 22:00:00,2.87,-6.270975165404168,97.75,100.85,10,3.171355498721222,False,False,RECOVERY
EEFT,2021-10-20 21:00:00,24.53,-6.241951367320654,123.77,112.19,6,-9.356063666478144,True,False,RECOVERY
SLB,2022-04-22 06:00:00,2.0,-6.986268369067691,38.61,37.95,10,-1.7094017094017007,False,False,RECOVERY
NBTB,2025-01-27 16:00:00,1.32,-5.359342915811087,46.09,49.14,10,6.617487524408759,False,False,RECOVERY
NBTB,2023-01-23 16:00:00,-5.84,-11.23701605288007,37.6,41.01,10,9.069148936170203,False,False,RECOVERY
RMBS,2024-04-29 16:00:00,-10.91,-6.412448700410398,54.73,58.1,10,6.157500456787876,False,False,RECOVERY
RMBS,2024-02-05 16:00:00,113.8,-11.180722891566267,55.29,57.5,10,3.997106167480559,False,False,RECOVERY
SSD,2024-04-22 16:00:00,-4.77,-7.087294727744169,172.0,180.05,10,4.680232558139542,False,False,RECOVERY
SSD,2023-10-23 16:00:00,10.04,-5.287702143663022,125.92,143.45,8,13.92153748411689,False,True,RECOVERY
SSD,2021-10-25 16:00:00,-4.06,-8.109729961423067,107.19,121.5,9,13.350125944584384,False,True,RECOVERY
SSD,2021-02-08 16:00:00,4.62,-7.387735393529687,95.9,99.4,10,3.64963503649635,False,False,RECOVERY
SSD,2020-10-26 16:00:00,56.35,-6.810855776229591,89.62,93.29,10,4.095068065164027,False,False,RECOVERY
CINF,2024-04-25 16:00:00,0.75,-7.8227616593233105,110.88,118.87,10,7.205988455988464,False,False,RECOVERY
CINF,2023-10-26 16:00:00,45.44,-6.209150326797393,97.58,99.73,10,2.203320352531262,False,False,RECOVERY
CINF,2022-07-27 16:00:00,-37.5,-11.012013105205675,97.78,103.22,10,5.563509920229083,False,False,RECOVERY
CINF,2022-04-28 16:00:00,9.27,-9.772058823529417,122.71,126.23,10,2.8685518702632304,False,False,RECOVERY
CINF,2020-04-27 17:00:00,-21.07,-11.11111111111111,72.0,65.15,2,-9.513888888888882,True,False,RECOVERY
