ticker,earnings_date,avg_volume_90d,avg_dollar_volume_90d,volume_std_90d,volume_consistency,min_volume_90d,max_volume_90d,volume_trend
FFIN,2024-10-16,539651.5625,19176487.60147477,260165.06237398504,0.5179017713416052,221300,1637100,-7064.7413003663005
INDB,2024-10-16,255279.6875,14718013.387165498,152866.34496226767,0.4011809303775191,92500,1126400,74.21016483516483
HRI,2024-10-16,251534.375,36269682.4223198,123682.2454809995,0.5082888949830435,115200,730600,-2269.038461538461
UFPI,2024-10-16,267035.9375,32775913.616707176,132879.605810587,0.5023905506704056,127500,1075500,-307.4107142857143
WABC,2024-10-16,116807.8125,5667865.632368345,72098.29556730393,0.38276135795879296,51500,587700,-771.7010073260074
SLB,2024-10-17,10952400.0,466095204.3291092,4242216.763244095,0.6126678387162544,5199400,24556100,82512.60989010989
WBS,2024-10-17,1331156.25,59538202.05776766,772894.4690433345,0.41938110643034243,599900,4381900,-7157.083333333333
ALV,2024-10-17,859720.3125,80523837.8830159,423207.2602595668,0.5077384422511632,385200,2550900,-3648.651556776557
RF,2024-10-17,7467284.375,159560712.6584337,2690977.365740297,0.6396310585479348,4141500,18490800,-21216.744505494506
FITB,2024-10-17,3986110.9375,159450967.68111688,1331923.6538629914,0.6658588597390257,2355000,9004800,-13077.841117216118
AXP,2024-10-17,2694478.125,680794556.7544162,1031349.4774290886,0.6172359063300659,1399000,6902600,-13341.112637362638
STT,2024-10-17,2074787.5,169496589.8954898,740347.0491429024,0.6431696985147142,1029300,5898700,17311.414835164836
ALLY,2024-10-17,3672350.0,137244125.73516965,3411864.581274055,0.0709315339567157,1322700,27135000,47678.580586080585
HBAN,2024-10-17,13763817.1875,190793313.60054025,4876848.51298344,0.6456761633384314,7670900,29332500,-62767.72664835165
EEFT,2024-10-17,322312.5,32225911.673091352,183840.4454005684,0.42962049129162416,139000,1550600,-2894.2811355311355
RBCAA,2024-10-17,16757.8125,1023401.370216161,11037.293271356728,0.34136431760668473,6500,85200,-43.86675824175824
TFC,2024-10-17,7875984.375,319870646.8582218,2571611.521750438,0.6734869700969363,3669700,15639400,12417.046703296704
CMA,2024-10-17,1991143.75,106594162.79497445,1109954.920702667,0.4425540995206062,1076100,8603400,-13165.938644688646
GD,2024-10-24,1141853.125,332341409.36069787,897936.7338990634,0.2136145058944744,583400,7899200,3284.8076923076924
VRTS,2024-10-24,31625.0,6275315.644025803,14920.913202403222,0.5281924679081985,15300,116300,-307.1886446886447
HCA,2024-10-24,1104635.9375,423801139.2840796,473742.9526609684,0.571132047601911,515500,3447700,4487.864010989011
FHB,2024-10-24,553140.625,12479962.18069503,331820.515510854,0.40011544892249773,308400,2825600,-1306.0897435897436
PG,2024-10-24,7075767.1875,1180217594.393723,3534907.522153316,0.5004206005536673,3770000,28647500,-18386.197344322343
STEL,2024-10-24,173076.5625,4397288.478076458,125224.50282844387,0.2764791429894278,69100,857400,-1384.512362637363
ITW,2024-10-24,831782.8125,202969347.01840952,289183.84527246235,0.652332506843591,494800,1814600,-6081.5361721611725
BAH,2024-10-24,761340.625,115801660.0916274,427574.8417616963,0.4383921890918453,375100,2954200,-4311.76282051282
GNTX,2024-10-24,1604314.0625,46738351.224721454,723311.655340551,0.5491458485295482,785400,4716200,-2634.2193223443223
CRI,2024-10-24,1168893.75,71943316.83729999,604650.2081749677,0.482715851483535,508700,4768200,-11253.177655677657
PIPR,2024-10-24,112604.6875,30239742.95747541,59355.491928910975,0.4728861360330938,51600,321000,-1262.3466117216117
DCOM,2024-10-24,202248.4375,5132640.279352525,102216.74293970816,0.49459810813268623,67900,654100,-6.920787545787546
LKFN,2024-10-24,100056.25,6299695.382229239,49802.214762378746,0.5022578323455182,41500,398500,180.5631868131868
GRC,2024-10-24,78660.9375,2956177.7274183,74532.70426769949,0.05248136322174535,20900,482300,-1250.963827838828
TXNM,2024-10-24,624706.25,25473596.867077425,234990.434033604,0.6238385096457671,228200,1285800,2206.5338827838827
WT,2024-10-24,1702076.5625,16961402.01792626,2099961.215495377,0.0,639800,17476900,-32208.99496336996
NVT,2024-10-24,1787181.25,120017842.43939854,821728.9273957973,0.5402095185388738,737200,6171500,-20021.25
BOH,2024-10-27,306956.25,18916753.071894497,127180.7411234044,0.5856714397462035,150800,979100,468.507326007326
ABCB,2024-10-27,350382.8125,20914976.42262187,166933.9281469392,0.5235670181540677,176900,1307200,1156.6277472527472
ARLP,2024-10-27,266173.4375,5794442.154421657,177199.45648469756,0.33427069902609063,104600,918600,-4939.2101648351645
KDP,2024-10-27,7402690.625,259393012.2256208,3071680.3004487106,0.5850589392355282,3964100,19980500,38804.98626373626
AGYS,2024-10-27,186607.8125,20309752.895304747,97385.1041454729,0.4781295443057997,87500,804100,136.84752747252747
RVTY,2024-10-27,695240.625,84160201.20297968,287693.35732203175,0.586195991751731,365300,2220300,-3329.198717948718
LEG,2024-10-27,1599381.25,19957895.600866437,834728.8762141359,0.4780926209969413,760400,6343200,-9492.431318681318
CAR,2024-10-27,651048.4375,54581866.52640831,319728.2010351955,0.5089025906229973,179300,1790100,-1109.077380952381
BRO,2024-10-27,1439757.8125,147543464.95945007,744028.3289120854,0.48322674657333353,591300,4537600,10769.315476190475
CR,2024-10-27,219115.625,33302138.15356791,131033.4262682739,0.4019895830419492,97400,736100,-890.9065934065934
DORM,2024-10-27,144806.25,16005932.617127895,83788.17182690668,0.42137737958888744,68600,673100,-283.7957875457876
AMKR,2024-10-27,1565828.125,46802059.07626636,1170479.973109492,0.25248502410857376,721200,8056200,-18736.79029304029
NBTB,2024-10-27,194732.8125,8563189.467294887,123378.48730014572,0.36642168458309654,90800,959300,486.407967032967
ACGL,2024-10-27,1555184.375,159398815.51655456,740959.1836366401,0.5235554088970061,700600,4339400,7436.996336996337
NOV,2024-10-27,3680970.3125,59805502.37333709,1703808.271749624,0.5371306674319656,1365700,9635300,13207.222985347986
FTAI,2024-10-27,1052262.5,129738518.48929672,443194.3611397055,0.5788176798662829,415600,3087600,1655.3937728937728
NXPI,2024-10-27,2326868.75,546253295.5933228,958622.4560762442,0.5880204003443494,1089200,6787600,-12721.117216117216
NUE,2024-10-27,1551728.125,225121502.0370543,714917.0828752833,0.5392768415051552,709500,5247000,10284.771062271062
NE,2024-10-27,2226810.9375,75889451.05719385,970454.3522899324,0.5641954438307889,963100,6180600,9643.427197802195
PFG,2024-10-27,1188565.625,93915119.12559718,611861.7820937216,0.4852099293266019,569300,4195300,-4036.50641025641
UHS,2024-10-27,733270.3125,165292327.1157123,318264.81021646585,0.5659652316600969,346000,1753200,2561.540750915751
WM,2024-10-27,1399446.875,285984465.6475581,481560.2017677409,0.6558924741121446,718600,2433900,-11317.815934065937
CDNS,2024-10-27,1981185.9375,528081087.1110666,896215.6941462406,0.5476367577708791,949000,4752400,-12828.019688644688
SBCF,2024-10-27,393706.25,10154080.31420149,191451.2038415558,0.5137206893678833,187800,1515400,-1568.0815018315018
CINF,2024-10-27,544214.0625,71174795.06901595,305043.4285330052,0.4394789669129412,200300,1713600,-3020.0755494505493
OLN,2024-10-27,1348984.375,57853228.852469474,847080.410571633,0.37206062110865223,580200,5637600,-430.7509157509157
RMBS,2024-10-27,1822168.75,77591362.42363341,1287635.9657441142,0.2933497702975566,605100,9582400,-19340.68681318681
NWBI,2024-10-27,656421.875,8189134.478402324,366494.1392670058,0.44167896710175025,367500,3161000,-1365.2472527472528
HIG,2024-10-27,1445731.25,162526890.19442797,480940.9638967846,0.6673372288959067,731800,3178000,796.2042124542124
SSD,2024-10-27,208729.6875,37955224.21705462,104935.14955723466,0.49726773026843796,95300,656300,688.3310439560439
CFLT,2024-10-27,4090529.6875,85324614.74613208,2923620.85172825,0.2852708389668056,1415100,20635200,-54146.94826007326
FFIV,2024-10-27,594834.375,123025597.11866452,399220.4567470428,0.32885442818088184,255800,2651300,-3423.974358974359
