ticker,daily_bars,earnings_count,recent_earnings_with_hourly,hourly_bars
FFIN,2512,25,9,850
FPH,2120,16,0,0
INDB,2512,25,9,868
ISBA,2511,18,8,329
RMBI,1572,1,0,0
HRI,2512,25,8,836
NKSH,2510,25,8,738
UFPI,2512,25,8,842
WABC,2512,25,9,856
MRTN,2512,25,8,846
SLB,2512,25,9,1167
WBS,2512,25,9,860
ALV,2512,25,9,1113
RF,2512,25,9,977
FITB,2512,25,9,931
AXP,2512,25,9,1089
STT,2512,25,9,905
ALLY,2512,25,9,1016
HBAN,2512,25,9,1018
ATLX,2511,11,8,876
EEFT,2512,25,8,832
GBFH,1170,8,8,469
MCBS,2196,24,9,816
RBCAA,2512,25,8,761
TFC,2512,25,9,990
CMA,2512,25,9,908
GD,2512,25,8,894
VRTS,2512,25,8,821
HCA,2512,25,8,897
FHB,2312,25,8,817
CVEO,2512,25,8,833
BLMN,2512,25,8,863
PG,2512,25,8,1042
STEL,1993,13,8,805
BHRB,2511,6,5,510
ITW,2512,25,8,847
BAH,2512,25,8,884
GNTX,2512,25,8,836
CRI,2512,25,8,871
PIPR,2512,25,8,815
OPY,2512,13,0,0
DCOM,2512,25,9,824
EFSI,2512,3,2,207
LKFN,2512,25,8,822
NECB,1104,16,8,807
GRC,2512,25,8,823
SMP,2512,25,8,817
TXNM,2512,25,8,827
TMP,2512,25,8,847
WT,2512,25,8,873
NVT,1885,25,8,865
BOH,2512,25,8,829
ABCB,2512,25,8,817
BMRC,2512,25,8,814
KDP,2512,25,8,959
AGYS,2512,25,8,839
RVTY,2512,25,8,881
LEG,2512,25,8,905
CAR,2512,25,8,903
BRO,2512,25,8,876
CR,639,25,8,832
DORM,2512,25,8,840
AMKR,2512,25,8,997
NBTB,2512,25,8,826
ACGL,2512,25,8,842
NOV,2512,25,8,902
FTAI,2511,25,8,922
NXPI,2512,25,8,986
NUE,2512,25,8,898
BBBY,2512,25,8,1055
NE,1093,19,8,1061
PFG,1966,25,8,822
UHS,2512,25,8,884
WM,2512,25,8,921
CDNS,2512,25,8,995
SBCF,2512,25,8,814
CINF,2512,25,8,820
OLN,2512,25,8,861
ARLP,2512,25,8,878
RMBS,2512,25,8,964
NWBI,2512,25,8,816
HIG,2512,25,8,841
SSD,2512,25,8,842
CFLT,1082,18,8,1067
FFIV,2512,25,8,873
IBRX,2512,19,8,1103
CMPO,1228,15,8,884
FRHC,2509,7,1,138
CLMT,2512,25,8,836
PAR,2512,25,8,824
SPHR,1384,21,6,672
SPH,2512,25,8,816
TLN,593,8,7,713
WWD,2512,25,8,878
WSM,2512,25,8,891
ATKR,2350,25,8,861
BKE,2512,25,8,839
NB,689,4,3,377
SPB,2512,25,8,838
SBET,2014,1,0,0
BTDR,953,9,8,1093
ASTS,1427,15,8,1129
ACLX,926,16,8,829
YOU,1078,18,8,961
COGT,1896,21,8,868
CELC,2026,25,8,831
PVH,2512,25,8,907
FIVE,2512,25,8,911
VEEV,2512,25,8,925
VSCO,1064,18,8,987
ZS,1906,25,8,1043
PSTG,2512,25,8,1024
ASAN,1266,21,8,1037
REX,2512,25,7,716
MRVL,2512,25,8,1131
IOT,961,16,8,1066
GCT,791,13,8,1095
FRO,2512,25,8,1138
