ticker,analyst_count,strong_buy,buy,hold,sell,strong_sell,consensus_rating,target_high,target_low,target_mean,target_median,current_price,upside_to_target
FFIN,5.0,0,0,0,0,0,3.0,39.0,38.0,38.6,39.0,33.69,14.574057583852786
INDB,4.0,0,0,0,0,0,3.0,84.0,76.0,80.75,81.5,69.84,15.62142038946162
HRI,10.0,0,0,0,0,0,3.0,196.0,100.0,158.9,160.0,128.01,24.13092727130694
UFPI,6.0,0,0,0,0,0,3.0,135.0,95.0,114.5,111.0,91.98,24.483583387692974
WABC,1.0,0,0,0,0,0,3.0,53.0,53.0,53.0,53.0,47.33,11.97971688147053
SLB,28.0,0,0,0,0,0,3.0,82.0,36.0,46.02143,44.0,32.57,41.30006140620203
WBS,17.0,0,0,0,0,0,3.0,78.0,67.0,71.70588,70.0,59.44,20.635733512785997
ALV,17.0,0,0,0,0,0,3.0,150.0,109.0,135.21176,138.0,118.75,13.862534736842102
RF,23.0,0,0,0,0,0,3.0,33.0,26.0,29.09783,29.0,25.16,15.65115262321144
FITB,20.0,0,0,0,0,0,3.0,60.0,43.0,50.6,51.0,43.41,16.563003916148368
AXP,24.0,0,0,0,0,0,3.0,394.0,265.0,334.41125,342.0,332.85,0.4690551299384025
STT,15.0,0,0,0,0,0,3.0,162.0,95.0,128.63333,130.0,115.4,11.46735701906412
ALLY,17.0,0,0,0,0,0,3.0,70.0,39.0,47.17647,45.0,39.94,18.118352528793203
HBAN,20.0,0,0,0,0,0,3.0,23.0,15.4,19.845,20.0,16.34,21.45042839657282
EEFT,7.0,0,0,0,0,0,3.0,145.0,100.0,126.28571,130.0,87.71,43.9809713829666
RBCAA,1.0,0,0,0,0,0,3.0,78.0,78.0,78.0,78.0,71.52,9.060402684563766
TFC,21.0,0,0,0,0,0,3.0,55.0,46.1,49.52857,49.0,43.93,12.744297746414757
CMA,19.0,0,0,0,0,0,3.0,93.0,64.0,75.05263,72.0,79.49,-5.582299660334635
GD,17.0,0,0,0,0,0,3.0,400.0,293.0,352.35294,350.0,335.5,5.023230998509684
VRTS,4.0,0,0,0,0,0,3.0,229.0,180.0,198.75,193.0,193.0,2.9792746113989637
HCA,21.0,0,0,0,0,0,3.0,495.0,333.0,417.5238,420.0,418.4,-0.20941682600382006
FHB,9.0,0,0,0,0,0,3.0,28.0,24.0,26.22222,26.0,24.62,6.507798537774163
PG,22.0,0,0,0,0,0,3.0,186.0,147.0,169.09091,171.0,149.16,13.36210109949049
STEL,5.0,0,0,0,0,0,3.0,34.0,30.0,31.6,32.0,31.18,1.3470173187941044
ITW,16.0,0,0,0,0,0,3.0,298.0,215.0,261.0,263.5,248.09,5.203756701197144
BAH,10.0,0,0,0,0,0,3.0,160.0,93.0,126.2,121.0,97.8,29.03885480572598
GNTX,8.0,0,0,0,0,0,3.0,42.0,24.0,31.0,30.0,25.96,19.414483821263477
CRI,5.0,0,0,0,0,0,3.0,28.0,22.0,24.8,25.0,31.18,-20.46183450930083
PIPR,2.0,0,0,0,0,0,3.0,394.0,352.0,373.0,373.0,346.27,7.719409709186478
DCOM,5.0,0,0,0,0,0,3.0,42.0,31.0,36.2,37.0,30.33,19.353775140125304
LKFN,5.0,0,0,0,0,0,3.0,76.0,67.0,70.6,68.0,63.88,10.519724483406373
GRC,2.0,0,0,0,0,0,3.0,56.0,52.0,54.0,54.0,45.41,18.916538207443303
TXNM,6.0,0,0,0,0,0,3.0,61.25,58.0,60.08333,60.5,56.87,5.650307719359943
WT,6.0,0,0,0,0,0,3.0,17.0,13.5,15.375,15.5,13.35,15.168539325842701
NVT,12.0,0,0,0,0,0,3.0,115.0,68.04,103.33667,111.5,99.51,3.8455130137674534
BOH,6.0,0,0,0,0,0,3.0,75.0,66.0,70.33333,70.5,64.26,9.45118269530034
ABCB,6.0,0,0,0,0,0,3.0,81.0,73.0,78.16667,79.0,74.86,4.417138658829812
ARLP,2.0,0,0,0,0,0,3.0,32.0,29.0,30.5,30.5,25.65,18.90838206627681
KDP,17.0,0,0,0,0,0,3.0,42.0,24.0,34.05882,34.0,26.69,27.608917197452215
AGYS,5.0,0,0,0,0,0,3.0,152.0,120.0,130.4,125.0,112.06,16.36623237551312
RVTY,15.0,0,0,0,0,0,3.0,135.0,99.0,112.66667,115.0,91.14,23.619343866578884
LEG,3.0,0,0,0,0,0,3.0,10.0,9.0,9.66667,10.0,8.81,9.7238365493757
CAR,8.0,0,0,0,0,0,3.0,200.0,105.0,146.5,150.0,155.49,-5.7817222972538485
BRO,12.0,0,0,0,0,0,3.0,133.0,92.0,108.33333,106.0,94.77,14.311839189616975
CR,8.0,0,0,0,0,0,3.0,230.0,170.0,211.875,217.5,179.7,17.904841402337233
DORM,8.0,0,0,0,0,0,3.0,185.0,135.0,168.75,176.5,140.06,20.484078252177635
AMKR,8.0,0,0,0,0,0,3.0,32.0,20.0,25.875,25.5,29.91,-13.490471414242727
NBTB,6.0,0,0,0,0,0,3.0,55.0,47.0,49.66667,48.5,42.18,17.749336178283556
ACGL,17.0,0,0,0,0,0,3.0,125.0,88.0,108.23529,110.0,92.23,17.3536701723951
NOV,20.0,0,0,0,0,0,3.0,20.0,11.0,15.4,15.0,12.55,22.709163346613543
FTAI,10.0,0,0,0,0,0,3.0,306.0,175.0,209.1,200.0,170.56,22.59615384615384
NXPI,32.0,0,0,0,0,0,3.0,289.0,210.0,258.4344,265.0,216.11,19.584655962241435
NUE,12.0,0,0,0,0,0,3.0,174.0,140.0,159.66667,160.0,138.51,15.274471157317176
NE,10.0,0,0,0,0,0,3.0,38.0,30.0,33.6,33.5,27.3,23.076923076923077
PFG,12.0,0,0,0,0,0,3.0,103.0,73.0,87.91667,89.0,81.29,8.151888301144039
UHS,16.0,0,0,0,0,0,3.0,280.0,165.0,224.1875,223.5,203.81,9.998282714292722
WM,22.0,0,0,0,0,0,3.0,277.0,198.0,255.0,263.0,218.11,16.913484021823844
CDNS,24.0,0,0,0,0,0,3.0,410.0,200.0,370.84042,390.0,325.75,13.84203223330775
SBCF,6.0,0,0,0,0,0,3.0,35.0,28.0,31.70833,31.625,31.62,0.2793485135989852
CINF,6.0,0,0,0,0,0,3.0,184.0,145.0,167.0,170.0,158.75,5.196850393700787
OLN,15.0,0,0,0,0,0,3.0,30.0,20.0,24.4,25.0,24.53,-0.5299633102323789
RMBS,8.0,0,0,0,0,0,3.0,130.0,73.0,103.5,107.0,94.85,9.119662625197687
NWBI,6.0,0,0,0,0,0,3.0,15.0,12.5,13.66667,13.5,12.66,7.951579778830961
HIG,18.0,0,0,0,0,0,3.0,163.0,120.0,142.77779,142.0,131.18,8.841126696142707
SSD,3.0,0,0,0,0,0,3.0,195.0,190.0,191.66667,190.0,169.51,13.07101055984899
CFLT,31.0,0,0,0,0,0,3.0,36.0,20.0,25.2029,25.0,22.79,10.587538394032473
FFIV,11.0,0,0,0,0,0,3.0,390.0,260.0,333.0,335.0,343.17,-2.9635457644899077
IBRX,5.0,0,0,0,0,0,3.0,24.0,5.0,10.2,8.0,2.51,306.37450199203187
CMPO,6.0,0,0,0,0,0,3.0,23.0,16.0,19.5,19.5,20.45,-4.645476772616133
