ticker,total_earnings_events,earnings_beat_rate,avg_surprise_when_beat,avg_surprise_when_miss,surprise_consistency,quarters_with_data,missing_quarters,consecutive_beats,consecutive_misses,max_positive_surprise,max_negative_surprise
FFIN,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
INDB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
HRI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
UFPI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WABC,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SLB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WBS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ALV,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
RF,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FITB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
AXP,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
STT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ALLY,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
HBAN,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
EEFT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
RBCAA,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
TFC,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CMA,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
GD,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
VRTS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
HCA,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FHB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
PG,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
STEL,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ITW,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
BAH,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
GNTX,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CRI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
PIPR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
DCOM,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
LKFN,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
GRC,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
TXNM,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NVT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
BOH,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ABCB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ARLP,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
KDP,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
AGYS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
RVTY,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
LEG,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CAR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
BRO,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
DORM,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
AMKR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NBTB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ACGL,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NOV,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FTAI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NXPI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NUE,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NE,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
PFG,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
UHS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WM,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CDNS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SBCF,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CINF,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
OLN,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
RMBS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NWBI,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
HIG,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SSD,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CFLT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FFIV,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
IBRX,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CMPO,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FRHC,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CLMT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
PAR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SPHR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SPH,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
TLN,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WWD,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
WSM,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ATKR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
BKE,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SPB,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SBET,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
BTDR,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ASTS,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
ACLX,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
YOU,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
COGT,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
CELC,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
PVH,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
FIVE,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NCNO,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
NTNX,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
SNOW,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
VEEV,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
VSCO,1,0.5,0.0,0.0,0.0,1,0,0,0,0.0,0.0
