ticker,pe_ratio,forward_pe,peg_ratio,price_to_book,debt_to_equity,current_ratio,profit_margin,operating_margin,return_on_equity,return_on_assets,revenue_growth,earnings_growth,beta,shares_outstanding,float_shares,institutional_ownership,insider_ownership,short_ratio,short_percent_float,analyst_count,target_price,recommendation,fifty_two_week_high,fifty_two_week_low,avg_volume_10day,avg_volume_3month,market_cap,enterprise_value,last_updated
FFIN,19.701754,20.542683,,2.7565045,,,0.42468,0.56966,0.15086001,0.01784,0.193,0.268,0.864,142174080,136825491,0.66484,0.03808,14.77,0.060399998,5.0,38.6,hold,44.66,30.58,481040,533190,4789844480,4438349312.0,2025-10-14 20:59:04.610125
INDB,15.765237,13.508703,,0.968198,,,0.28443,0.41015998,0.0629,0.00955,0.052,-0.008,0.864,49915917,48920594,0.79796,0.00778,5.88,0.047199998,4.0,80.75,buy,77.23,52.15,270660,335473,3486127360,3273202432.0,2025-10-14 20:59:05.200326
HRI,154.22891,8.767808,,2.2239401,517.321,1.153,0.0060900003,0.15968001,0.014049999,0.042090002,0.182,,1.813,33236566,28949049,1.02637,0.01941,5.26,0.081999995,10.0,158.9,buy,246.88,96.19,451230,504879,4254612736,13844321280.0,2025-10-14 20:59:05.799146
UFPI,15.96875,12.548431,,1.7126578,11.827,4.543,0.05309,0.06915,0.11147001,0.06415,-0.035,-0.171,1.455,58566148,57434650,0.87499,0.020130001,3.07,0.0277,6.0,114.5,buy,141.33,88.99,364490,354392,5386914304,4818251264.0,2025-10-14 20:59:06.400649
WABC,9.860416,10.880461,,1.3138099,,,0.46166,0.61831003,0.14604001,0.0209,-0.132,-0.157,0.608,25461854,24195636,0.80224,0.048899997,1.99,0.0182,1.0,53.0,hold,59.97,42.0,141160,148043,1205109632,664865600.0,2025-10-14 20:59:06.996933
SLB,11.154109,8.87466,,2.1677206,63.579,1.315,0.11534,0.15738,0.19224001,0.07683,-0.065,-0.039,0.975,1493878835,1347032927,0.79764,0.00187,2.26,0.0304,28.0,46.02143,strong_buy,44.97,31.11,15941110,16733010,48655630336,54808801280.0,2025-10-14 20:59:07.611662
WBS,12.081301,10.373472,,1.0969622,,,0.3445,0.51959,0.094399996,0.01079,0.205,0.473,1.039,166188648,164422063,0.92494005,0.00803,2.45,0.0233,17.0,71.70588,buy,63.99,39.43,1282680,1348509,9878252544,11787364352.0,2025-10-14 20:59:08.222912
ALV,13.020834,11.66503,,3.6941981,89.355,0.928,0.06834,0.09175,0.29889,0.08128,0.042,0.266,1.34,76807215,76520724,0.72880995,0.0032300001,3.47,0.028499998,17.0,135.21176,buy,129.54,75.49,596240,631809,9120857088,10971067392.0,2025-10-14 20:59:08.843460
RF,11.757009,11.132743,,1.299654,,,0.30495,0.46976003,0.11568,0.013259999,0.156,,1.029,892308354,888069889,0.82618,0.0029199999,2.02,0.0508,23.0,29.09783,buy,27.96,17.74,23541570,18461992,22450477056,,2025-10-14 20:59:09.552313
FITB,13.523364,11.89315,,1.5249237,,,0.29201,0.38996,0.11569,0.011030001,0.044,0.086,0.966,654957887,657704112,0.88547,0.0043599997,5.94,0.0473,20.0,50.6,buy,49.07,32.25,11399380,5742646,28431722496,44083642368.0,2025-10-14 20:59:10.374671
AXP,23.357895,22.01389,,7.169783,187.933,1.603,0.15994,0.21002,0.32808,0.03574,0.092,-0.017,1.294,695882227,542697672,0.65339994,0.21916,3.48,0.018099999,24.0,334.41125,hold,349.19,220.43,2271200,2552239,231624409088,227814457344.0,2025-10-14 20:59:11.251889
STT,12.966293,12.35546,,1.387653,,,0.21392,0.27648002,0.109469995,0.008119999,0.075,0.009,1.48,283695342,267967272,0.9344,0.00455,2.92,0.020299999,15.0,128.63333,buy,118.24,72.81,1619220,1834487,32738441216,-51862827008.0,2025-10-14 20:59:11.908996
ALLY,38.403847,9.624096,,1.005716,,,0.06319,0.22780001,0.030569999,0.00227,0.113,0.677,1.167,307808031,277291943,0.84902,0.103319995,2.94,0.0337,17.0,47.17647,buy,44.83,29.52,3825150,3252067,12293852160,23217690624.0,2025-10-14 20:59:12.514401
HBAN,12.19403,12.19403,,1.2585689,,,0.29136,0.36378,0.10505,0.01054,0.081,0.133,0.979,1458913612,1447508930,0.88819003,0.00923,2.79,0.0626,20.0,19.845,buy,18.45,11.92,32201030,31125945,23838650368,32022921216.0,2025-10-14 20:59:13.110697
