ticker,bid,ask,bid_ask_spread,spread_percent,bid_size,ask_size,last_price,timestamp,note
FFIN,,,,,,,,2025-10-14 21:03:08.722133,TWS API not available - placeholder data
INDB,,,,,,,,2025-10-14 21:03:08.722137,TWS API not available - placeholder data
HRI,,,,,,,,2025-10-14 21:03:08.722138,TWS API not available - placeholder data
UFPI,,,,,,,,2025-10-14 21:03:08.722139,TWS API not available - placeholder data
WABC,,,,,,,,2025-10-14 21:03:08.722139,TWS API not available - placeholder data
SLB,,,,,,,,2025-10-14 21:03:08.722140,TWS API not available - placeholder data
WBS,,,,,,,,2025-10-14 21:03:08.722140,TWS API not available - placeholder data
ALV,,,,,,,,2025-10-14 21:03:08.722141,TWS API not available - placeholder data
RF,,,,,,,,2025-10-14 21:03:08.722141,TWS API not available - placeholder data
FITB,,,,,,,,2025-10-14 21:03:08.722142,TWS API not available - placeholder data
AXP,,,,,,,,2025-10-14 21:03:08.722142,TWS API not available - placeholder data
STT,,,,,,,,2025-10-14 21:03:08.722142,TWS API not available - placeholder data
ALLY,,,,,,,,2025-10-14 21:03:08.722143,TWS API not available - placeholder data
HBAN,,,,,,,,2025-10-14 21:03:08.722143,TWS API not available - placeholder data
EEFT,,,,,,,,2025-10-14 21:03:08.722144,TWS API not available - placeholder data
RBCAA,,,,,,,,2025-10-14 21:03:08.722144,TWS API not available - placeholder data
TFC,,,,,,,,2025-10-14 21:03:08.722144,TWS API not available - placeholder data
CMA,,,,,,,,2025-10-14 21:03:08.722145,TWS API not available - placeholder data
GD,,,,,,,,2025-10-14 21:03:08.722145,TWS API not available - placeholder data
VRTS,,,,,,,,2025-10-14 21:03:08.722145,TWS API not available - placeholder data
HCA,,,,,,,,2025-10-14 21:03:08.722146,TWS API not available - placeholder data
FHB,,,,,,,,2025-10-14 21:03:08.722146,TWS API not available - placeholder data
PG,,,,,,,,2025-10-14 21:03:08.722147,TWS API not available - placeholder data
STEL,,,,,,,,2025-10-14 21:03:08.722147,TWS API not available - placeholder data
ITW,,,,,,,,2025-10-14 21:03:08.722147,TWS API not available - placeholder data
BAH,,,,,,,,2025-10-14 21:03:08.722148,TWS API not available - placeholder data
GNTX,,,,,,,,2025-10-14 21:03:08.722148,TWS API not available - placeholder data
CRI,,,,,,,,2025-10-14 21:03:08.722148,TWS API not available - placeholder data
PIPR,,,,,,,,2025-10-14 21:03:08.722149,TWS API not available - placeholder data
DCOM,,,,,,,,2025-10-14 21:03:08.722149,TWS API not available - placeholder data
LKFN,,,,,,,,2025-10-14 21:03:08.722150,TWS API not available - placeholder data
GRC,,,,,,,,2025-10-14 21:03:08.722150,TWS API not available - placeholder data
TXNM,,,,,,,,2025-10-14 21:03:08.722150,TWS API not available - placeholder data
WT,,,,,,,,2025-10-14 21:03:08.722151,TWS API not available - placeholder data
NVT,,,,,,,,2025-10-14 21:03:08.722151,TWS API not available - placeholder data
BOH,,,,,,,,2025-10-14 21:03:08.722151,TWS API not available - placeholder data
ABCB,,,,,,,,2025-10-14 21:03:08.722152,TWS API not available - placeholder data
ARLP,,,,,,,,2025-10-14 21:03:08.722152,TWS API not available - placeholder data
KDP,,,,,,,,2025-10-14 21:03:08.722152,TWS API not available - placeholder data
AGYS,,,,,,,,2025-10-14 21:03:08.722153,TWS API not available - placeholder data
RVTY,,,,,,,,2025-10-14 21:03:08.722153,TWS API not available - placeholder data
LEG,,,,,,,,2025-10-14 21:03:08.722154,TWS API not available - placeholder data
CAR,,,,,,,,2025-10-14 21:03:08.722154,TWS API not available - placeholder data
BRO,,,,,,,,2025-10-14 21:03:08.722154,TWS API not available - placeholder data
CR,,,,,,,,2025-10-14 21:03:08.722155,TWS API not available - placeholder data
DORM,,,,,,,,2025-10-14 21:03:08.722155,TWS API not available - placeholder data
AMKR,,,,,,,,2025-10-14 21:03:08.722156,TWS API not available - placeholder data
NBTB,,,,,,,,2025-10-14 21:03:08.722156,TWS API not available - placeholder data
ACGL,,,,,,,,2025-10-14 21:03:08.722156,TWS API not available - placeholder data
NOV,,,,,,,,2025-10-14 21:03:08.722157,TWS API not available - placeholder data
FTAI,,,,,,,,2025-10-14 21:03:08.722157,TWS API not available - placeholder data
NXPI,,,,,,,,2025-10-14 21:03:08.722157,TWS API not available - placeholder data
NUE,,,,,,,,2025-10-14 21:03:08.722158,TWS API not available - placeholder data
NE,,,,,,,,2025-10-14 21:03:08.722158,TWS API not available - placeholder data
PFG,,,,,,,,2025-10-14 21:03:08.722159,TWS API not available - placeholder data
UHS,,,,,,,,2025-10-14 21:03:08.722159,TWS API not available - placeholder data
WM,,,,,,,,2025-10-14 21:03:08.722160,TWS API not available - placeholder data
CDNS,,,,,,,,2025-10-14 21:03:08.722160,TWS API not available - placeholder data
SBCF,,,,,,,,2025-10-14 21:03:08.722161,TWS API not available - placeholder data
CINF,,,,,,,,2025-10-14 21:03:08.722161,TWS API not available - placeholder data
OLN,,,,,,,,2025-10-14 21:03:08.722162,TWS API not available - placeholder data
RMBS,,,,,,,,2025-10-14 21:03:08.722162,TWS API not available - placeholder data
NWBI,,,,,,,,2025-10-14 21:03:08.722162,TWS API not available - placeholder data
HIG,,,,,,,,2025-10-14 21:03:08.722163,TWS API not available - placeholder data
SSD,,,,,,,,2025-10-14 21:03:08.722163,TWS API not available - placeholder data
CFLT,,,,,,,,2025-10-14 21:03:08.722163,TWS API not available - placeholder data
FFIV,,,,,,,,2025-10-14 21:03:08.722164,TWS API not available - placeholder data
IBRX,,,,,,,,2025-10-14 21:03:08.722164,TWS API not available - placeholder data
CMPO,,,,,,,,2025-10-14 21:03:08.722165,TWS API not available - placeholder data
FRHC,,,,,,,,2025-10-14 21:03:08.722165,TWS API not available - placeholder data
CLMT,,,,,,,,2025-10-14 21:03:08.722165,TWS API not available - placeholder data
PAR,,,,,,,,2025-10-14 21:03:08.722166,TWS API not available - placeholder data
SPHR,,,,,,,,2025-10-14 21:03:08.722166,TWS API not available - placeholder data
SPH,,,,,,,,2025-10-14 21:03:08.722166,TWS API not available - placeholder data
TLN,,,,,,,,2025-10-14 21:03:08.722167,TWS API not available - placeholder data
