ticker,is_acquisition_target,is_acquiring,merger_announced,merger_date,bankruptcy_risk,delisting_risk,recent_stock_split,split_date,split_ratio,notes
FFIN,False,False,False,,False,False,False,,,Manual review required
INDB,False,False,False,,False,False,False,,,Manual review required
HRI,False,False,False,,False,False,False,,,Manual review required
UFPI,False,False,False,,False,False,False,,,Manual review required
WABC,False,False,False,,False,False,False,,,Manual review required
SLB,False,False,False,,False,False,False,,,Manual review required
WBS,False,False,False,,False,False,False,,,Manual review required
ALV,False,False,False,,False,False,False,,,Manual review required
RF,False,False,False,,False,False,False,,,Manual review required
FITB,False,False,False,,False,False,False,,,Manual review required
AXP,False,False,False,,False,False,False,,,Manual review required
STT,False,False,False,,False,False,False,,,Manual review required
ALLY,False,False,False,,False,False,False,,,Manual review required
HBAN,False,False,False,,False,False,False,,,Manual review required
EEFT,False,False,False,,False,False,False,,,Manual review required
RBCAA,False,False,False,,False,False,False,,,Manual review required
TFC,False,False,False,,False,False,False,,,Manual review required
CMA,False,False,False,,False,False,False,,,Manual review required
GD,False,False,False,,False,False,False,,,Manual review required
VRTS,False,False,False,,False,False,False,,,Manual review required
HCA,False,False,False,,False,False,False,,,Manual review required
FHB,False,False,False,,False,False,False,,,Manual review required
PG,False,False,False,,False,False,False,,,Manual review required
STEL,False,False,False,,False,False,False,,,Manual review required
ITW,False,False,False,,False,False,False,,,Manual review required
BAH,False,False,False,,False,False,False,,,Manual review required
GNTX,False,False,False,,False,False,False,,,Manual review required
CRI,False,False,False,,False,False,False,,,Manual review required
PIPR,False,False,False,,False,False,False,,,Manual review required
DCOM,False,False,False,,False,False,False,,,Manual review required
LKFN,False,False,False,,False,False,False,,,Manual review required
GRC,False,False,False,,False,False,False,,,Manual review required
TXNM,False,False,False,,False,False,False,,,Manual review required
WT,False,False,False,,False,False,False,,,Manual review required
NVT,False,False,False,,False,False,False,,,Manual review required
BOH,False,False,False,,False,False,False,,,Manual review required
ABCB,False,False,False,,False,False,False,,,Manual review required
ARLP,False,False,False,,False,False,False,,,Manual review required
KDP,False,False,False,,False,False,False,,,Manual review required
AGYS,False,False,False,,False,False,False,,,Manual review required
RVTY,False,False,False,,False,False,False,,,Manual review required
LEG,False,False,False,,False,False,False,,,Manual review required
CAR,False,False,False,,False,False,False,,,Manual review required
BRO,False,False,False,,False,False,False,,,Manual review required
CR,False,False,False,,False,False,False,,,Manual review required
DORM,False,False,False,,False,False,False,,,Manual review required
AMKR,False,False,False,,False,False,False,,,Manual review required
NBTB,False,False,False,,False,False,False,,,Manual review required
ACGL,False,False,False,,False,False,False,,,Manual review required
NOV,False,False,False,,False,False,False,,,Manual review required
FTAI,False,False,False,,False,False,False,,,Manual review required
NXPI,False,False,False,,False,False,False,,,Manual review required
NUE,False,False,False,,False,False,False,,,Manual review required
NE,False,False,False,,False,False,False,,,Manual review required
PFG,False,False,False,,False,False,False,,,Manual review required
UHS,False,False,False,,False,False,False,,,Manual review required
WM,False,False,False,,False,False,False,,,Manual review required
CDNS,False,False,False,,False,False,False,,,Manual review required
SBCF,False,False,False,,False,False,False,,,Manual review required
CINF,False,False,False,,False,False,False,,,Manual review required
OLN,False,False,False,,False,False,False,,,Manual review required
RMBS,False,False,False,,False,False,False,,,Manual review required
NWBI,False,False,False,,False,False,False,,,Manual review required
HIG,False,False,False,,False,False,False,,,Manual review required
SSD,False,False,False,,False,False,False,,,Manual review required
CFLT,False,False,False,,False,False,False,,,Manual review required
FFIV,False,False,False,,False,False,False,,,Manual review required
IBRX,False,False,False,,False,False,False,,,Manual review required
CMPO,False,False,False,,False,False,False,,,Manual review required
FRHC,False,False,False,,False,False,False,,,Manual review required
CLMT,False,False,False,,False,False,False,,,Manual review required
PAR,False,False,False,,False,False,False,,,Manual review required
SPHR,False,False,False,,False,False,False,,,Manual review required
SPH,False,False,False,,False,False,False,,,Manual review required
TLN,False,False,False,,False,False,False,,,Manual review required
WWD,False,False,False,,False,False,False,,,Manual review required
WSM,False,False,False,,False,False,False,,,Manual review required
ATKR,False,False,False,,False,False,False,,,Manual review required
BKE,False,False,False,,False,False,False,,,Manual review required
NB,False,False,False,,False,False,False,,,Manual review required
SPB,False,False,False,,False,False,False,,,Manual review required
SBET,False,False,False,,False,False,False,,,Manual review required
BTDR,False,False,False,,False,False,False,,,Manual review required
ASTS,False,False,False,,False,False,False,,,Manual review required
ACLX,False,False,False,,False,False,False,,,Manual review required
YOU,False,False,False,,False,False,False,,,Manual review required
COGT,False,False,False,,False,False,False,,,Manual review required
CELC,False,False,False,,False,False,False,,,Manual review required
PVH,False,False,False,,False,False,False,,,Manual review required
FIVE,False,False,False,,False,False,False,,,Manual review required
NCNO,False,False,False,,False,False,False,,,Manual review required
NTNX,False,False,False,,False,False,False,,,Manual review required
SNOW,False,False,False,,False,False,False,,,Manual review required
VEEV,False,False,False,,False,False,False,,,Manual review required
VSCO,False,False,False,,False,False,False,,,Manual review required
ZS,False,False,False,,False,False,False,,,Manual review required
PSTG,False,False,False,,False,False,False,,,Manual review required
ASAN,False,False,False,,False,False,False,,,Manual review required
REX,False,False,False,,False,False,False,,,Manual review required
MRVL,False,False,False,,False,False,False,,,Manual review required
IOT,False,False,False,,False,False,False,,,Manual review required
GCT,False,False,False,,False,False,False,,,Manual review required
FRO,False,False,False,,False,False,False,,,Manual review required
FLNG,False,False,False,,False,False,False,,,Manual review required
