ticker,expected_quarterly_reports,actual_reports,missing_reports,avg_days_between_earnings,std_days_between_earnings,consistency_score,last_earnings_date,days_since_last_earnings
FFIN,40,1,39,90,0,0.025,2024-10-16,363
INDB,40,1,39,90,0,0.025,2024-10-16,363
HRI,40,1,39,90,0,0.025,2024-10-16,363
UFPI,40,1,39,90,0,0.025,2024-10-16,363
WABC,40,1,39,90,0,0.025,2024-10-16,363
SLB,40,1,39,90,0,0.025,2024-10-17,362
WBS,40,1,39,90,0,0.025,2024-10-17,362
ALV,40,1,39,90,0,0.025,2024-10-17,362
RF,40,1,39,90,0,0.025,2024-10-17,362
FITB,40,1,39,90,0,0.025,2024-10-17,362
AXP,40,1,39,90,0,0.025,2024-10-17,362
STT,40,1,39,90,0,0.025,2024-10-17,362
ALLY,40,1,39,90,0,0.025,2024-10-17,362
HBAN,40,1,39,90,0,0.025,2024-10-17,362
EEFT,40,1,39,90,0,0.025,2024-10-17,362
RBCAA,40,1,39,90,0,0.025,2024-10-17,362
TFC,40,1,39,90,0,0.025,2024-10-17,362
CMA,40,1,39,90,0,0.025,2024-10-17,362
GD,40,1,39,90,0,0.025,2024-10-24,355
VRTS,40,1,39,90,0,0.025,2024-10-24,355
HCA,40,1,39,90,0,0.025,2024-10-24,355
FHB,40,1,39,90,0,0.025,2024-10-24,355
PG,40,1,39,90,0,0.025,2024-10-24,355
STEL,40,1,39,90,0,0.025,2024-10-24,355
ITW,40,1,39,90,0,0.025,2024-10-24,355
BAH,40,1,39,90,0,0.025,2024-10-24,355
GNTX,40,1,39,90,0,0.025,2024-10-24,355
CRI,40,1,39,90,0,0.025,2024-10-24,355
PIPR,40,1,39,90,0,0.025,2024-10-24,355
DCOM,40,1,39,90,0,0.025,2024-10-24,355
LKFN,40,1,39,90,0,0.025,2024-10-24,355
GRC,40,1,39,90,0,0.025,2024-10-24,355
TXNM,40,1,39,90,0,0.025,2024-10-24,355
WT,40,1,39,90,0,0.025,2024-10-24,355
NVT,40,1,39,90,0,0.025,2024-10-24,355
BOH,40,1,39,90,0,0.025,2024-10-27,352
ABCB,40,1,39,90,0,0.025,2024-10-27,352
ARLP,40,1,39,90,0,0.025,2024-10-27,352
KDP,40,1,39,90,0,0.025,2024-10-27,352
AGYS,40,1,39,90,0,0.025,2024-10-27,352
RVTY,40,1,39,90,0,0.025,2024-10-27,352
LEG,40,1,39,90,0,0.025,2024-10-27,352
CAR,40,1,39,90,0,0.025,2024-10-27,352
BRO,40,1,39,90,0,0.025,2024-10-27,352
CR,40,1,39,90,0,0.025,2024-10-27,352
DORM,40,1,39,90,0,0.025,2024-10-27,352
AMKR,40,1,39,90,0,0.025,2024-10-27,352
NBTB,40,1,39,90,0,0.025,2024-10-27,352
ACGL,40,1,39,90,0,0.025,2024-10-27,352
NOV,40,1,39,90,0,0.025,2024-10-27,352
FTAI,40,1,39,90,0,0.025,2024-10-27,352
NXPI,40,1,39,90,0,0.025,2024-10-27,352
NUE,40,1,39,90,0,0.025,2024-10-27,352
NE,40,1,39,90,0,0.025,2024-10-27,352
PFG,40,1,39,90,0,0.025,2024-10-27,352
UHS,40,1,39,90,0,0.025,2024-10-27,352
WM,40,1,39,90,0,0.025,2024-10-27,352
