entry_strategy,exit_day,sizing_method,filters,stop_loss,take_profit,trade_count,avg_return,median_return,win_rate,avg_win,avg_loss,expectancy,sharpe,max_drawdown,total_pnl,score,stopped_out,hit_target,time_exit
positive_strong,15,fixed,{'volume_spike_min': 2.5},-10,15,52,12.115384615384615,15.0,88.46153846153845,15.0,-10.0,12.115384615384611,1.502205736102281,-10,25200.0,35.53483595822561,6,46,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 3}",-10,15,59,12.033898305084746,15.0,88.13559322033898,15.0,-10.0,12.033898305084744,1.4758956039845954,-20,28400.0,35.40182684853405,7,52,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 2}",-10,15,67,12.014925373134329,15.0,88.05970149253731,15.0,-10.0,12.01492537313433,1.471022917558318,-20,32200.0,35.370982888770754,8,59,0
positive_strong,15,fixed,"{'beta_min': 1.0, 'beta_max': 1.5}",-10,15,67,12.014925373134329,15.0,88.05970149253731,15.0,-10.0,12.01492537313433,1.471022917558318,-10,32200.0,35.370982888770754,8,59,0
positive_strong,15,fixed,{'market_cap_min': 5000000000.0},-10,15,92,11.73913043478261,15.0,86.95652173913044,15.0,-10.0,11.739130434782608,1.3866757246080972,-20,43200.0,34.92127626811298,12,80,0
positive_strong,15,fixed,{'volume_spike_min': 3.0},-10,15,37,12.297297297297296,15.0,89.1891891891892,15.0,-10.0,12.297297297297298,1.562553193197749,-10,18200.0,34.791930994995454,4,33,0
positive_strong,15,fixed,{'volume_spike_min': 3.0},-8,12,46,9.826086956521738,12.0,89.13043478260869,12.0,-8.0,9.826086956521738,1.5612011038083287,-8,18080.0,34.505685327772134,5,41,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.6}",-10,15,45,11.666666666666666,15.0,86.66666666666667,15.0,-10.0,11.666666666666668,1.3574737723930592,-20,21000.0,34.40241404390597,6,39,0
positive_strong,15,fixed,{'market_cap_min': 10000000000.0},-10,15,69,11.376811594202898,15.0,85.5072463768116,15.0,-10.0,11.3768115942029,1.2833158353594045,-20,31400.0,34.33123013426058,10,59,0
positive_strong,15,fixed,{'volume_spike_min': 2.0},-10,15,68,11.323529411764707,15.0,85.29411764705883,15.0,-10.0,11.323529411764707,1.2694618814914602,-20,30800.0,34.244593246972684,10,58,0
positive_strong,15,fixed,"{'beta_min': 1.2, 'beta_max': 2.0}",-10,15,81,11.296296296296296,15.0,85.18518518518519,15.0,-10.0,11.296296296296298,1.2640620733924253,-30,36600.0,34.20048028141332,12,69,0
positive_strong,15,fixed,{'volume_spike_min': 1.5},-10,15,113,11.238938053097344,15.0,84.95575221238938,15.0,-10.0,11.238938053097346,1.251910911395513,-20,50800.0,34.107491976095304,17,96,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.65}",-10,15,43,11.511627906976743,15.0,86.04651162790698,15.0,-10.0,11.511627906976745,1.3133458933484012,-20,19800.0,33.989939240497634,6,37,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 3}",-8,12,98,9.346938775510203,12.0,86.73469387755102,12.0,-8.0,9.346938775510203,1.3707465714276352,-16,36640.0,33.89625833061215,13,85,0
positive_strong,15,fixed,"{'beta_min': 0.8, 'beta_max': 1.2}",-10,15,57,11.052631578947368,15.0,84.21052631578947,15.0,-10.0,11.052631578947368,1.2017531053905328,-30,25200.0,33.80438583685484,9,48,0
positive_strong,15,fixed,{'market_cap_min': 10000000000.0},-8,12,102,9.254901960784315,12.0,86.27450980392157,12.0,-8.0,9.254901960784316,1.338126728807047,-16,37760.0,33.7181263983709,14,88,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 2}",-8,12,109,9.247706422018348,12.0,86.23853211009175,12.0,-8.0,9.247706422018352,1.3360404556601753,-16,40320.0,33.70424624740089,15,94,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 1}",-10,15,81,10.987654320987655,15.0,83.9506172839506,15.0,-10.0,10.987654320987652,1.1899435232457916,-30,35600.0,33.69924126590482,13,68,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.75}",-10,15,37,11.621621621621621,15.0,86.48648648648648,15.0,-10.0,11.621621621621623,1.3412781318678937,-20,17200.0,33.68872240778138,5,32,0
positive_strong,15,fixed,{'market_cap_min': 1000000000.0},-10,15,207,10.772946859903382,15.0,83.09178743961353,15.0,-10.0,10.772946859903382,1.1468722543109513,-30,89200.0,33.351402201276514,35,172,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7}",-10,15,40,11.25,15.0,85.0,15.0,-10.0,11.25,1.2443992171986875,-20,18000.0,33.32443992171987,6,34,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 20}",-10,15,40,11.25,15.0,85.0,15.0,-10.0,11.25,1.2443992171986875,-20,18000.0,33.32443992171987,6,34,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 15}",-10,15,40,11.25,15.0,85.0,15.0,-10.0,11.25,1.2443992171986875,-20,18000.0,33.32443992171987,6,34,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 25}",-10,15,40,11.25,15.0,85.0,15.0,-10.0,11.25,1.2443992171986875,-20,18000.0,33.32443992171987,6,34,0
positive_strong,15,fixed,"{'beta_min': 1.2, 'beta_max': 2.0}",-8,12,114,9.017543859649123,12.0,85.08771929824562,12.0,-8.0,9.017543859649123,1.2602003248977796,-16,41120.0,33.25935336582311,17,97,0
positive_strong,15,fixed,{},-10,15,210,10.714285714285714,15.0,82.85714285714286,15.0,-10.0,10.714285714285715,1.134436341452389,-30,90000.0,33.25630077700239,36,174,0
positive_strong,15,fixed,{'volume_spike_min': 2.5},-8,12,67,9.014925373134329,12.0,85.07462686567165,12.0,-8.0,9.01492537313433,1.2554634725984923,-8,24160.0,33.253904556215076,10,57,0
positive_strong,15,fixed,{'market_cap_min': 5000000000.0},-8,12,140,9.0,12.0,85.0,12.0,-8.0,9.0,1.2557431091996967,-24,50400.0,33.225574310919974,21,119,0
positive_strong,15,fixed,{'volume_spike_min': 1.5},-8,12,155,8.774193548387096,12.0,83.87096774193549,12.0,-8.0,8.774193548387096,1.1889449417200475,-16,54400.0,32.78986223610749,25,130,0
positive_strong,15,fixed,{'volume_spike_min': 3.0},-5,10,60,7.75,10.0,85.0,10.0,-5.0,7.75,1.4348474548157166,-10,18600.0,32.743484745481574,9,51,0
